DATA PKS SMK DENGAN INDUSTRI THN 2017 APAC INTI,,,,,,,,
,,,,,,,,
NO,INDUSTRI,BIDANG ,NAMA SEKOLAH,KABUPATEN/KOTA,KETERANGAN KERJASAMA (THN),,LINGKUP KERJASAMA ,KERJASAMA 
,,,,,MULAI,BERAKHIR ,,
9,,,SMK MUHAMMADIYAH KAJEN,Kab Pekalongan ,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
1,PT. SUMBER BENGAWAN PLASINDO,Industri Karung Plastik,SMKS MUHAMMADIYAH 3 SURAKARTA ,Kota Surakarta,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
2,,,SMKS KATOLIK ST. MIKAEL SURAKARTA,Kota Surakarta,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
3,,,SMKS WARGA SURAKARTA,Kota Surakarta,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
4,,,SMK NEGERI 2 KARANGANYAR,Kab. Karanganyar,21-Apr-17,21-Apr-22,Pembinaan dan pengembangan sekolah menengah kejuruan berbasis kompetensi yang Link and Match dengan industri,"Penyelarasan kurikulum berbasis kompetensi sesuai kebutuhan industri, "
,,,,,,,,"Pengembangan sarana prasarana praktikum,"
,,,,,,,,"Penyediaan guru bidang studi produktif dan instruktur,"
,,,,,,,,"Praktek kerja industri bagi siswa SMK dan pemagangan industri bagi guru, "
,,,,,,,,Sertifikasi
